+	1A-E	3499	1127	7
+	1B-E	3920	1292	7
+	1C-E	4345	937	7
+	1D-E	4336	796	7
+	1E-E	4339	700	7
+	1F-E	4312	547	7
+	2B-E	3947	1300	7
+	4A-E	3719	1369	7
+	4B-E	3615	1385	7
+	4C-E	3643	1333	7
+	5E-E	3535	1488	7
+	5F-E	3645	1559	7
+	6A-E	3634	1634	7
+	6E-E	3820	1911	7
+	6F-E	4031	1489	7
+	1A-N	1054	329	7
+	1B-N	1000	421	7
+	2A-N	1750	527	7
+	2B-N	1361	448	7
+	2B-N	1361	6142	7
+	2C-N	1456	533	7
+	2D-N	1473	510	7
+	2E-N	1787	573	7
+	2F-N	1872	548	7
+	2G-N	2078	442	7
+	2G-N	2078	6142	7
+	3A-N	1469	913	7
+	4A-N	2552	458	7
+	4B-N	2606	459	7
+	4C-N	2647	362	7
+	4C-N	2647	6142	7
+	4E-N	2619	766	7
+	5A-N	3064	424	7
+	6A-N	3423	109	7
+	6A-N	3423	6142	7
+	6B-N	3653	91	7
+	6B-N	3653	6142	7
+	6C-N	3779	58	7
+	6C-N	3779	6142	7
+	6D-N	4075	44	7
+	6D-N	4075	6142	7
+	1A-S	746	3263	7
+	1B-S	937	3013	7
+	2B-S	1326	3050	7
+	2D-S	1801	3183	7
+	3A-S	2065	3164	7
+	3B-S	2264	3264	7
+	3C-S	2440	3343	7
+	4A-S	2415	3128	7
+	4B-S	2427	3032	7
+	5A-S	2868	3497	7
+	5B-S	2870	3517	7
+	5C-S	2747	3289	7
+	6A-S	2607	3546	7
+	6B-S	2756	3594	7
+	6C-S	3020	3666	7
+	7A-S	3299	3600	7
+	8A-S	3428	3812	7
+	1A-W	1203	633	7
+	2A-W	1043	590	7
+	2C-W	656	603	7
+	2D-W	840	921	7
+	2G-W	1111	706	7
+	3A-W	455	822	7
+	4B-W	467	1089	7
+	6A-W	633	1258	7
+	6B-W	872	1303	7
+	6C-W	775	1187	7
+	7A-W	354	1744	7
+	7B-W	851	1807	7
+	7C-W	933	2266	7
+	7D-W	1132	2541	7
+	7E-W	691	1887	7
+	7F-W	722	1864	7
+	8A-W	2292	2570	7
+	8B-W	2290	2423	7
+	8C-W	2230	2163	7
+	8D-W	2030	2029	7
+	8E-W	2043	1753	7
+	9A-W	2280	1527	7
+	9B-W	2175	1457	7
+	9B-W	2175	1457	7
+	10A-W	2183	985	7
+	11A-W	2192	1102	7
+	13A-W	2343	969	7
+	The Gym	4384	184	7
+	GH	4384	6142	7
+	GG-Shelter	1655	2667	7
+	XD1	3610	1961	7
+	XD2	4228	2287	7
+	XD3	4386	2879	7
+	XD4	4472	2735	7
+	XD7	3413	3572	7
+	XD8	3666	2572	7
+	XD9	4115	2132	7
+	XD10	4145	3250	7
+	XD12	3043	3150	7
+	XD13	3190	2935	7
+	XD14	3368	2789	7
+	XP1	4500	2553	7
+	XP2	4427	2850	7
+	XP3	3846	3726	7
+	M1	500	300	7
+	M2	1500	300	7
+	M3	2500	150	7
+	M4	3500	100	7
+	M5	4500	500	7
+	M6	300	1500	7
+	M8	2600	1500	7
+	M9	3300	1500	7
+	M10	4500	1500	7
+	M11	500	2500	7
+	M13	2500	2500	7
+	M14	3500	2350	7
+	M15	4600	2200	7
+	M16	500	3500	7
+	M17	1500	3500	7
+	M18	2500	3700	7
+	M19	3650	3800	7
+	M20	4500	3500	7
+	M21	500	4500	7
+	M22	1500	4500	7
+	M23	2500	4500	7
+	M24	3500	4500	7
+	M25	4500	4500	7
+	M26	500	5500	7
+	M27	1500	5500	7
+	M28	2500	5500	7
+	M29	3500	5500	7
+	M30	4500	5500	7
+       7B-S	3285	3554	7	true
