+	3	769	606	7	true
+	4	927	722	7	true
+	5	1063	435	7	true
+	6	1346	523	7	true
+	7	848	613	7	true
+	8	1066	683	7	true
+	9	1191	703	7	true
+	10	1331	633	7	true
+	11	1373	717	7	true
+	12	499	882	7	true
+	13	649	936	7	true
+	14	869	903	7	true
+	15	1179	759	7	true
+	16	1226	802	7	true
+	17	526	1095	7	true
+	18	820	1086	7	true
+	19	1153	971	7	true
+	20	1243	993	7	true
+	21	584	1137	7	true
+	22	1031	1138	7	true
+	23	1182	1109	7	true
+	24	592	1221	7	true
+	25	1160	1261	7	true
+	26	1315	1267	7	true
+	27	1707	612	7	true
+	28	2669	421	7	true
+	29	2374	537	7	true
+	30	1994	618	7	true
+	31	2488	610	7	true
+	32	2792	608	7	true
+	33	2425	677	7	true
+	34	1913	780	7	true
+	35	1566	827	7	true
+	36	1841	884	7	true
+	37	1944	913	7	true
+	39	1870	946	7	true
+	40	1988	991	7	true
+	41	2267	983	7	true
+	42	2384	1023	7	true
+	44	1652	1006	7	true
+	45	1595	1062	7	true
+	46	1774	1046	7	true
+	47	2374	1118	7	true
+	48	2489	1099	7	true
+	49	1907	1195	7	true
+	50	2189	1202	7	true
+	51	2464	1159	7	true
+	52	1006	1371	7	true
+	53	1135	1395	7	true
+	54	1170	1520	7	true
+	55	1210	1530	7	true
+	56	1164	1622	7	true
+	57	1092	1635	7	true
+	58	1155	1638	7	true
+	59	1059	1693	7	true
+	60	2574	558	7	true
+	61	1135	1699	7	true
+	62	1274	1665	7	true
+	63	1004	1710	7	true
+	64	1096	1755	7	true
+	65	1275	1795	7	true
+	66	1271	1720	7	true
+	67	780	1844	7	true
+	68	1157	1852	7	true
+	69	333	1985	7	true
+	70	429	1988	7	true
+	71	770	1982	7	true
+	72	967	2071	7	true
+	73	1228	2056	7	true
+	74	441	2085	7	true
+	75	1144	2097	7	true
+	76	1275	2109	7	true
+	77	1463	1300	7	true
+	78	1351	1453	7	true
+	79	1461	1678	7	true
+	80	1412	1848	7	true
+	81	1667	1889	7	true
+	82	1905	1875	7	true
+	83	1418	1933	7	true
+	84	1344	2033	7	true
+	85	1495	2066	7	true
+	86	1529	2097	7	true
+	87	1570	2128	7	true
+	88	1854	2017	7	true
+	89	1393	2135	7	true
+	90	1825	2089	7	true
+	91	1475	2179	7	true
+	92	1319	2222	7	true
+	93	1492	2228	7	true
+	94	1562	2187	7	true
+	95	1616	2228	7	true
+	96	1798	2195	7	true
+	97	1915	1994	7	true
+	100	2281	1288	7	true
+	101	2282	1524	7	true
+	102	2041	1837	7	true
+	103	1953	1898	7	true
+	104	2013	1979	7	true
+	105	2103	2053	7	true
+	106	2174	2190	7	true
+	107	2248	2655	7	true
+	108	2157	2832	7	true
+	109	2195	2830	7	true
+	110	2220	2861	7	true
+	111	2179	2902	7	true
+	113	2221	2888	7	true
+	114	2237	2973	7	true
+	115	2066	1831	7	true
+	120	1241	2376	7	true
+	121	1495	2339	7	true
+	122	1623	2322	7	true
+	123	1861	2291	7	true
+	124	1544	2473	7	true
+	125	1122	2601	7	true
+	126	1521	2542	7	true
+	127	1603	2495	7	true
+	128	1353	2631	7	true
+	129	1494	2613	7	true
+	130	903	2829	7	true
+	131	1170	2741	7	true
+	132	1364	2709	7	true
+	133	1613	2779	7	true
+	134	1166	2915	7	true
+	135	1339	2922	7	true
+	136	1444	2958	7	true
+	137	724	3194	7	true
+	138	846	3190	7	true
+	139	982	3148	7	true
+	140	1070	3315	7	true
+	150	2076	3059	7	true
+	151	2358	3024	7	true
+	152	2440	3040	7	true
+	153	2012	3246	7	true
+	154	2183	3145	7	true
+	155	2336	3128	7	true
+	156	2317	3318	7	true
+	157	2426	3352	7	true
+	158	2855	3336	7	true
+	159	2302	3481	7	true
+	160	2631	3474	7	true
+	161	2732	3384	7	true
+	162	2786	3375	7	true
+	163	3059	3411	7	true
+	164	3164	3422	7	true
+	165	3209	3386	7	true
+	166	3258	3343	7	true
+	167	3054	3480	7	true
+	168	3078	3497	7	true
+	169	3268	3521	7	true
+	170	2986	3695	7	true
+	171	3285	3735	7	true
+	200	3213	233	7	true
+	201	3286	129	7	true
+	202	3254	107	7	true
+	203	3462	59	7	true
+	204	3532	108	7	true
+	205	3536	178	7	true
+	206	3626	125	7	true
+	207	3616	253	7	true
+	208	3576	321	7	true
+	209	3638	306	7	true
+	210	3625	382	7	true
+	211	3761	90	7	true
+	212	3862	280	7	true
+	213	3912	250	7	true
+	214	4102	82	7	true
+	215	4173	281	7	true
+	216	4113	224	7	true
+	217	3847	368	7	true
+	218	3769	402	7	true
+	219	3709	423	7	true
+	220	3863	1342	7	true
+	221	3600	516	7	true
+	222	3578	548	7	true
+	223	3506	501	7	true
+	224	3399	515	7	true
+	225	3405	583	7	true
+	226	3340	566	7	true
+	227	3232	598	7	true
+	228	3302	623	7	true
+	229	3272	687	7	true
+	230	3319	686	7	true
+	231	3436	680	7	true
+	232	3458	749	7	true
+	233	3348	782	7	true
+	234	3488	641	7	true
+	235	3648	686	7	true
+	236	3688	872	7	true
+	237	3303	859	7	true
+	238	3433	900	7	true
+	239	3402	978	7	true
+	240	3541	1015	7	true
+	241	3556	1067	7	true
+	242	3938	735	7	true
+	243	4090	752	7	true
+	244	4113	647	7	true
+	245	4281	495	7	true
+	246	4281	657	7	true
+	247	4185	756	7	true
+	248	4253	912	7	true
+	249	4152	949	7	true
+	250	3898	1028	7	true
+	251	3830	1045	7	true
+	252	3859	1096	7	true
+	253	3778	1109	7	true
+	254	3702	1168	7	true
+	255	3617	1178	7	true
+	256	3676	1241	7	true
+	257	3771	1253	7	true
+	258	3705	1367	7	true
+	259	3757	1342	7	true
+	260	3793	1356	7	true
+	261	3827	1366	7	true
+	262	3786	1398	7	true
+	263	3856	1401	7	true
+	264	3719	1471	7	true
+	265	3685	1466	7	true
+	266	3630	1542	7	true
+	267	3456	1440	7	true
+	268	3865	1248	7	true
+	269	4030	1340	7	true
+	270	3897	1530	7	true
+	271	3929	1548	7	true
+	272	3863	1525	7	true
+	273	4021	1622	7	true
+	274	4051	1686	7	true
+	275	3755	1871	7	true
+	276	3729	1750	7	true
+	277	3639	1695	7	true
+	278	3546	1742	7	true
+	279	4156	115	7	true
+	280	3936	337	7	true
+	281	4141	1319	7	true
+	282	3910	1360	7	true
